"tipo_cultivo","tipo_suelo","metodo_riego","fertilizacion_utilizada","nivel_tecnificacion","volumen_agua","rendimiento_cultivo","eficiencia_agua","densidad_siembra"
"cacao","franco-arcilloso","aspersión","mixta","bajo",7941,1355,0.1706,3211
"melón","franco-arcilloso","gravedad","química","alto",5759,9609,1.6685,3745
"plátano verde","franco","gravedad","mixta","alto",3641,22799,6.2617,3351
"maíz","franco","goteo","química","medio",8082,8417,1.0415,2855
"plátano verde","arcilloso","goteo","química","medio",7323,22873,3.1234,4714
"sandía","arcilloso","aspersión","química","medio",7049,12754,1.8093,4678
"sandía","franco-arcilloso","aspersión","orgánica","medio",5735,12598,2.1967,5069
"arroz","arenoso","gravedad","mixta","alto",8113,9028,1.1128,4353
"maíz","arcilloso","aspersión","mixta","medio",6998,8567,1.2242,3846
"melón","franco-arcilloso","goteo","química","medio",6567,9904,1.5081,5142
"arroz","arcilloso","aspersión","química","medio",4114,7231,1.7577,4632
"melón","franco-arcilloso","goteo","orgánica","bajo",8416,10323,1.2266,3646
"maíz","arenoso","aspersión","mixta","medio",7923,7406,0.9347,2681
"banano","arenoso","gravedad","química","alto",5376,29125,5.4176,3487
"cacao","arenoso","aspersión","química","medio",5226,1544,0.2954,4427
"maíz","arcilloso","gravedad","química","medio",8068,9129,1.1315,5269
"sandía","arcilloso","aspersión","orgánica","alto",7825,12471,1.5937,4114
"maíz","arenoso","aspersión","orgánica","alto",6014,9726,1.6172,4343
"cacao","arcilloso","aspersión","orgánica","alto",11931,965,0.0809,4556
"cacao","arcilloso","aspersión","mixta","bajo",7603,1531,0.2014,3606
"cacao","arcilloso","goteo","mixta","bajo",4931,1446,0.2932,3208
"arroz","franco-arcilloso","aspersión","mixta","medio",6966,8964,1.2868,3426
"melón","arcilloso","goteo","mixta","medio",7176,9603,1.3382,3612
"plátano verde","franco","aspersión","orgánica","medio",7010,20831,2.9716,3684
"maíz","arenoso","goteo","orgánica","alto",6961,9466,1.3599,3697
"melón","arenoso","goteo","orgánica","medio",8409,9312,1.1074,3621
"arroz","franco-arcilloso","gravedad","orgánica","bajo",6702,6766,1.0095,3905
"plátano verde","arenoso","aspersión","mixta","medio",8879,25895,2.9164,4068
"arroz","franco-arcilloso","gravedad","mixta","bajo",6763,7479,1.1059,3322
"maíz","franco","goteo","mixta","medio",4598,9721,2.1142,2962
"melón","franco","aspersión","química","medio",8659,11320,1.3073,4426
"maíz","arenoso","goteo","mixta","alto",7619,8886,1.1663,2994
"maíz","franco-arcilloso","aspersión","química","bajo",9418,8669,0.9205,2930
"arroz","arcilloso","goteo","orgánica","bajo",7226,7857,1.0873,4580
"banano","franco-arcilloso","gravedad","mixta","medio",8015,21407,2.6709,4359
"maíz","arcilloso","goteo","orgánica","medio",6673,8800,1.3187,4036
"sandía","arcilloso","goteo","mixta","bajo",9848,9297,0.944,3496
"cacao","franco","goteo","química","medio",7386,1356,0.1836,5291
"banano","franco-arcilloso","aspersión","química","alto",5311,29426,5.5406,3896
"melón","arenoso","goteo","química","alto",4452,10989,2.4683,2571
"sandía","arenoso","gravedad","mixta","medio",7537,11692,1.5513,3764
"arroz","franco","gravedad","mixta","bajo",7995,7814,0.9774,4603
"plátano verde","arcilloso","gravedad","mixta","bajo",7163,21570,3.0113,3637
"maíz","franco","goteo","orgánica","medio",6563,8621,1.3136,2748
"melón","arenoso","goteo","orgánica","medio",5082,10808,2.1267,4537
"sandía","franco","gravedad","mixta","medio",7047,11496,1.6313,3783
"sandía","arenoso","aspersión","química","medio",8797,10211,1.1607,3487
"arroz","arcilloso","gravedad","orgánica","medio",6385,7877,1.2337,4279
"melón","franco","gravedad","orgánica","medio",8995,9915,1.1023,3043
"plátano verde","arenoso","goteo","orgánica","medio",6706,24139,3.5996,2961
"arroz","arcilloso","gravedad","mixta","bajo",10004,4213,0.4211,4551
"maíz","franco-arcilloso","aspersión","orgánica","alto",6504,9387,1.4433,4099
"arroz","arenoso","gravedad","mixta","alto",7674,8143,1.0611,3425
"arroz","arenoso","aspersión","orgánica","bajo",6096,8458,1.3875,3629
"melón","arenoso","gravedad","orgánica","medio",6610,8531,1.2906,2604
"cacao","arcilloso","gravedad","orgánica","bajo",9563,1456,0.1523,3900
"cacao","arcilloso","aspersión","química","bajo",5693,1429,0.251,2935
"melón","franco","aspersión","orgánica","bajo",6692,10137,1.5148,3962
"maíz","franco","goteo","química","medio",7249,8430,1.1629,3663
"maíz","franco","aspersión","química","bajo",7397,7588,1.0258,4280
"plátano verde","arcilloso","aspersión","orgánica","bajo",7465,18426,2.4683,3482
"cacao","franco","goteo","orgánica","medio",6088,1481,0.2433,3699
"cacao","arcilloso","aspersión","química","medio",5446,1671,0.3068,4221
"sandía","arenoso","goteo","orgánica","alto",7464,13185,1.7665,4084
"melón","arcilloso","aspersión","química","medio",5983,10011,1.6732,2991
"sandía","arenoso","goteo","orgánica","alto",6613,14997,2.2678,4685
"sandía","arcilloso","gravedad","orgánica","medio",6669,10219,1.5323,4367
"banano","franco-arcilloso","gravedad","mixta","bajo",9515,28822,3.0291,3156
"cacao","arenoso","aspersión","mixta","alto",7435,1654,0.2225,4056
"sandía","arcilloso","gravedad","química","medio",6127,11555,1.8859,4648
"maíz","franco-arcilloso","aspersión","orgánica","medio",8643,9422,1.0901,3852
"maíz","franco-arcilloso","goteo","mixta","medio",9167,9221,1.0059,3165
"banano","franco-arcilloso","goteo","mixta","medio",6427,27264,4.2421,5084
"plátano verde","franco","gravedad","orgánica","bajo",5707,19255,3.3739,4639
"cacao","franco","gravedad","mixta","medio",7480,1482,0.1981,4861
"cacao","franco","aspersión","orgánica","alto",6363,1673,0.2629,3876
"arroz","arcilloso","aspersión","orgánica","medio",6738,9487,1.408,3690
"melón","arenoso","goteo","química","medio",4887,10480,2.1445,5494
"maíz","arenoso","goteo","química","medio",7171,8483,1.183,4631
"maíz","arenoso","gravedad","orgánica","alto",7108,8596,1.2093,3766
"cacao","arcilloso","aspersión","química","alto",7871,1729,0.2197,4103
"plátano verde","arcilloso","gravedad","orgánica","medio",6798,22259,3.2743,4500
"melón","franco","aspersión","orgánica","medio",5843,10294,1.7618,3997
"cacao","arenoso","aspersión","orgánica","bajo",8346,1492,0.1788,4409
"plátano verde","arcilloso","gravedad","mixta","alto",6780,20911,3.0842,3622
"melón","franco","gravedad","química","medio",7036,9409,1.3373,3836
"arroz","franco-arcilloso","aspersión","orgánica","medio",8543,8142,0.9531,4002
"banano","franco","gravedad","orgánica","medio",6200,25430,4.1016,2996
"maíz","arenoso","goteo","química","medio",4309,8067,1.8721,5178
"arroz","arenoso","aspersión","mixta","medio",5997,7874,1.313,5261
"maíz","franco-arcilloso","goteo","química","bajo",9824,8124,0.827,3148
"maíz","arenoso","gravedad","orgánica","medio",6223,9946,1.5983,3676
"sandía","arcilloso","aspersión","orgánica","medio",7247,12614,1.7406,3195
"plátano verde","franco","gravedad","química","bajo",6435,21208,3.2957,4314
"arroz","franco-arcilloso","aspersión","orgánica","alto",6491,9492,1.4623,3756
"sandía","arcilloso","gravedad","orgánica","medio",7823,12337,1.577,5537
"banano","arenoso","aspersión","mixta","medio",7213,23869,3.3092,3660
"maíz","arenoso","goteo","orgánica","medio",7473,9688,1.2964,3924
"melón","arenoso","gravedad","orgánica","alto",5813,9250,1.5913,4752
"cacao","arcilloso","gravedad","mixta","bajo",7278,1430,0.1965,3738
"plátano verde","franco","goteo","química","bajo",5927,19683,3.3209,2547
"maíz","franco-arcilloso","aspersión","orgánica","medio",5885,9211,1.5652,5371
"sandía","arenoso","gravedad","orgánica","alto",7662,12949,1.69,4489
"plátano verde","arcilloso","goteo","orgánica","bajo",4806,21076,4.3854,4611
"banano","franco","aspersión","orgánica","bajo",6380,19324,3.0288,3398
"melón","arcilloso","gravedad","química","alto",7240,11048,1.526,3239
"cacao","arenoso","gravedad","orgánica","medio",10394,1581,0.1521,4852
"plátano verde","franco","aspersión","química","medio",6960,21855,3.1401,4952
"melón","arenoso","gravedad","química","bajo",8080,9091,1.1251,3850
"melón","arcilloso","goteo","mixta","alto",7326,8336,1.1379,5506
"maíz","franco-arcilloso","goteo","orgánica","alto",6069,9587,1.5797,5141
"cacao","franco","aspersión","química","medio",6097,1612,0.2644,3876
"melón","franco","gravedad","mixta","medio",6784,12299,1.8129,4116
"arroz","arcilloso","aspersión","mixta","bajo",8485,6856,0.808,4053
"plátano verde","franco-arcilloso","goteo","mixta","bajo",6857,20061,2.9256,3915
"arroz","arcilloso","gravedad","orgánica","medio",5694,7478,1.3133,4472
"melón","franco","goteo","química","medio",6096,9317,1.5284,4403
"arroz","franco-arcilloso","goteo","orgánica","alto",4837,9408,1.945,4668
"arroz","arcilloso","goteo","mixta","medio",7942,8216,1.0345,3777
"plátano verde","franco","goteo","mixta","medio",7952,23030,2.8961,3858
"melón","franco-arcilloso","aspersión","mixta","alto",6157,10231,1.6617,6159
"cacao","franco-arcilloso","goteo","mixta","alto",6751,1941,0.2875,3990
"plátano verde","franco","goteo","orgánica","alto",5269,25078,4.7595,4335
"melón","arcilloso","goteo","mixta","alto",5355,10201,1.9049,3758
"melón","arenoso","gravedad","orgánica","medio",4802,9833,2.0477,3814
"sandía","arcilloso","goteo","mixta","alto",7349,12740,1.7336,5084
"arroz","arcilloso","goteo","mixta","bajo",6781,8387,1.2368,5205
"melón","arcilloso","gravedad","química","medio",8364,8717,1.0422,3788
"sandía","arenoso","goteo","química","medio",5787,11986,2.0712,3443
"arroz","franco-arcilloso","goteo","mixta","bajo",7702,8440,1.0958,2750
"plátano verde","franco-arcilloso","gravedad","mixta","bajo",7970,20283,2.5449,3909
"plátano verde","arenoso","aspersión","orgánica","alto",8735,25044,2.8671,3962
"banano","arcilloso","gravedad","química","alto",9097,27936,3.0709,3598
"maíz","arcilloso","goteo","mixta","medio",5941,9246,1.5563,4136
"cacao","franco","gravedad","química","medio",7049,1220,0.1731,3429
"sandía","arenoso","aspersión","mixta","bajo",4900,9055,1.848,3881
"arroz","arenoso","goteo","mixta","medio",6029,7608,1.2619,5266
"plátano verde","franco-arcilloso","aspersión","mixta","medio",5575,21578,3.8705,5351
"cacao","franco","gravedad","química","alto",7666,1469,0.1916,3415
"cacao","arcilloso","goteo","mixta","bajo",6123,1306,0.2133,3534
"cacao","arenoso","gravedad","química","alto",6614,1352,0.2044,3349
"cacao","arenoso","gravedad","química","bajo",6123,1425,0.2327,4115
"maíz","franco-arcilloso","gravedad","química","medio",8914,8733,0.9797,4931
"cacao","franco-arcilloso","goteo","química","medio",6802,1436,0.2111,4029
"melón","franco","aspersión","orgánica","medio",5616,11127,1.9813,4155
"plátano verde","franco","aspersión","mixta","medio",8040,20404,2.5378,4765
"arroz","arcilloso","gravedad","orgánica","bajo",6615,7064,1.0679,3502
"arroz","franco","goteo","orgánica","medio",6589,8251,1.2522,4406
"banano","franco-arcilloso","gravedad","orgánica","medio",6997,22209,3.1741,3771
"arroz","franco","gravedad","orgánica","alto",8774,9758,1.1121,6099
"plátano verde","arenoso","goteo","mixta","bajo",7572,16643,2.198,4921
"cacao","franco-arcilloso","goteo","orgánica","medio",8565,1360,0.1588,3652
"arroz","arenoso","goteo","orgánica","medio",7304,6883,0.9424,3572
"sandía","franco-arcilloso","aspersión","mixta","bajo",10339,10122,0.979,4096
"banano","franco-arcilloso","goteo","mixta","medio",6492,25354,3.9054,4476
"cacao","franco-arcilloso","aspersión","química","medio",4916,1610,0.3275,2979
"melón","franco-arcilloso","goteo","química","medio",6889,10291,1.4938,3716
"melón","arenoso","goteo","química","medio",7294,9437,1.2938,4880
"cacao","arcilloso","gravedad","orgánica","medio",7194,1572,0.2185,5603
"cacao","arcilloso","goteo","orgánica","medio",7892,1715,0.2173,3776
"maíz","arcilloso","gravedad","orgánica","medio",6462,8928,1.3816,4070
"melón","franco","aspersión","mixta","bajo",6421,10876,1.6938,3128
"maíz","franco-arcilloso","gravedad","mixta","medio",8062,8193,1.0162,3896
"maíz","franco","goteo","mixta","alto",6352,8911,1.4029,3721
"maíz","franco","goteo","orgánica","medio",6631,9175,1.3837,5139
"sandía","franco-arcilloso","gravedad","química","medio",7269,11510,1.5834,3297
"sandía","franco-arcilloso","aspersión","orgánica","medio",6033,10989,1.8215,4150
"arroz","franco-arcilloso","gravedad","química","medio",6735,9315,1.3831,3764
"maíz","franco","goteo","mixta","alto",6777,10516,1.5517,3598
"melón","arenoso","goteo","orgánica","medio",6572,9952,1.5143,5587
"sandía","franco","aspersión","orgánica","alto",7018,11192,1.5948,4814
"banano","franco","goteo","orgánica","medio",4929,24391,4.9485,4579
"banano","arcilloso","aspersión","orgánica","bajo",6842,21554,3.1502,4267
"melón","franco-arcilloso","gravedad","mixta","medio",7374,9296,1.2606,2948
"sandía","franco-arcilloso","gravedad","química","bajo",7505,12500,1.6656,5661
"melón","franco-arcilloso","goteo","mixta","bajo",6854,9953,1.4521,2965
"arroz","arcilloso","gravedad","mixta","medio",8327,9444,1.1341,4696
"maíz","arenoso","aspersión","química","bajo",7563,8514,1.1257,3790
"banano","franco-arcilloso","goteo","orgánica","bajo",4924,28548,5.7977,4133
"cacao","arcilloso","aspersión","mixta","alto",5814,1332,0.2291,2858
"sandía","franco-arcilloso","goteo","mixta","medio",8939,10763,1.204,3813
"plátano verde","franco-arcilloso","gravedad","química","bajo",7931,21344,2.6912,3299
"plátano verde","franco","goteo","química","bajo",7235,24752,3.4211,3016
"maíz","arenoso","aspersión","mixta","bajo",6312,8194,1.2982,4269
"maíz","franco","aspersión","orgánica","alto",6052,9723,1.6066,3622
"maíz","arcilloso","aspersión","química","alto",8624,8536,0.9898,4311
"sandía","arcilloso","gravedad","mixta","medio",7294,10557,1.4474,2830
"banano","franco","gravedad","mixta","medio",7012,23164,3.3035,5522
"maíz","arenoso","aspersión","química","bajo",7040,8685,1.2337,3875
"maíz","franco","gravedad","química","medio",6456,8779,1.3598,5003
"arroz","franco-arcilloso","aspersión","orgánica","medio",6512,8189,1.2575,3865
"sandía","arcilloso","aspersión","mixta","bajo",8631,10671,1.2364,3966
"arroz","franco-arcilloso","goteo","mixta","medio",7325,8600,1.1741,4326
"sandía","arcilloso","aspersión","mixta","medio",6441,11673,1.8123,4561
"maíz","franco-arcilloso","aspersión","mixta","medio",6277,9566,1.524,4489
"plátano verde","arenoso","gravedad","orgánica","medio",7721,25248,3.27,4547
"arroz","franco","goteo","química","medio",6528,9735,1.4913,3987
"arroz","arcilloso","aspersión","orgánica","bajo",4130,6776,1.6407,3074
"cacao","franco-arcilloso","gravedad","mixta","alto",5118,1674,0.3271,3649
"cacao","arenoso","goteo","química","alto",5554,1673,0.3012,4706
"arroz","arenoso","goteo","mixta","medio",7032,7737,1.1003,3800
"maíz","franco","gravedad","mixta","medio",4489,9074,2.0214,4133
"maíz","franco","gravedad","orgánica","medio",6972,8170,1.1718,5211
"arroz","franco-arcilloso","aspersión","química","medio",5957,8734,1.4662,4433
"plátano verde","arcilloso","aspersión","orgánica","medio",6220,22681,3.6465,4276
"banano","franco","goteo","mixta","medio",5949,24803,4.1693,4317
"maíz","franco-arcilloso","gravedad","mixta","medio",7565,9343,1.235,3577
"melón","franco","aspersión","mixta","medio",6880,10096,1.4674,5359
"plátano verde","franco-arcilloso","gravedad","mixta","bajo",6805,19168,2.8168,3634
"cacao","franco-arcilloso","aspersión","orgánica","bajo",5363,1433,0.2672,3809
"maíz","franco","aspersión","mixta","medio",6878,9002,1.3088,4258
"melón","arcilloso","aspersión","mixta","medio",7624,9319,1.2223,5098
"melón","arenoso","gravedad","orgánica","medio",4977,10798,2.1696,4892
"cacao","arcilloso","goteo","química","medio",6721,1869,0.2781,3447
"melón","franco-arcilloso","gravedad","orgánica","bajo",7364,9199,1.2492,4041
"arroz","arenoso","gravedad","orgánica","alto",6366,9538,1.4983,3730
"banano","arenoso","aspersión","química","bajo",6070,28478,4.6916,4302
"cacao","franco-arcilloso","aspersión","mixta","medio",7138,1405,0.1968,4021
"sandía","arcilloso","goteo","mixta","medio",6765,12559,1.8565,3691
"cacao","arenoso","gravedad","química","alto",6578,1380,0.2098,4040
"maíz","franco-arcilloso","aspersión","orgánica","bajo",7241,11075,1.5295,2945
"arroz","franco-arcilloso","gravedad","orgánica","medio",7525,7691,1.0221,4653
"arroz","arenoso","goteo","química","bajo",7413,6524,0.8801,4121
"melón","franco","gravedad","química","medio",6617,9677,1.4624,5226
"sandía","arcilloso","aspersión","química","medio",7123,12577,1.7657,5400
"banano","franco-arcilloso","goteo","mixta","medio",7865,20829,2.6483,3650
"banano","arcilloso","aspersión","orgánica","medio",7208,25724,3.5688,3634
"cacao","arenoso","gravedad","química","bajo",8385,1339,0.1597,4160
"arroz","arcilloso","aspersión","orgánica","bajo",6696,6311,0.9425,5114
"plátano verde","arcilloso","goteo","mixta","alto",5435,26519,4.8793,3242
"maíz","arcilloso","goteo","química","medio",5523,9842,1.782,3629
"melón","franco-arcilloso","aspersión","química","alto",7210,11520,1.5978,5122
"cacao","arcilloso","gravedad","orgánica","medio",8003,1506,0.1882,3103
"maíz","arcilloso","gravedad","química","bajo",9326,8815,0.9452,5100
"arroz","franco-arcilloso","gravedad","mixta","alto",7234,7265,1.0043,3672
"arroz","franco-arcilloso","gravedad","química","bajo",6924,7417,1.0712,3931
"banano","arcilloso","goteo","orgánica","medio",7858,22139,2.8174,3109
"maíz","arenoso","goteo","química","medio",8771,7855,0.8956,3686
"melón","franco-arcilloso","aspersión","mixta","alto",9144,9692,1.0599,3867
"cacao","arenoso","goteo","química","bajo",6380,1741,0.2729,3530
"sandía","arenoso","gravedad","orgánica","medio",7184,12298,1.7119,5134
"cacao","arcilloso","goteo","mixta","alto",7254,1496,0.2062,2914
"plátano verde","arenoso","aspersión","orgánica","bajo",5077,23419,4.6128,2733
"banano","arcilloso","goteo","química","bajo",6772,24357,3.5967,4469
"sandía","arcilloso","gravedad","química","medio",7707,12964,1.6821,4860
"melón","arenoso","gravedad","orgánica","alto",5611,10268,1.83,3001
"arroz","franco","aspersión","mixta","alto",8420,7911,0.9395,4669
"plátano verde","franco","aspersión","mixta","medio",6359,20306,3.1933,3245
"maíz","arenoso","gravedad","mixta","medio",7682,9238,1.2026,4635
"cacao","arenoso","gravedad","orgánica","bajo",5358,1456,0.2717,3477
"sandía","franco","aspersión","química","alto",7125,14928,2.0952,4255
"melón","arcilloso","gravedad","orgánica","bajo",6564,10103,1.5392,2724
"sandía","arenoso","goteo","química","medio",6096,11863,1.946,3722
"arroz","franco","aspersión","orgánica","bajo",7242,7236,0.9992,4134
"melón","franco-arcilloso","aspersión","orgánica","medio",7296,9685,1.3274,3767
"cacao","franco","aspersión","química","alto",3581,1591,0.4443,4882
"melón","arcilloso","gravedad","mixta","alto",6535,9384,1.436,5018
"melón","arenoso","goteo","química","bajo",7122,9735,1.3669,4690
"plátano verde","franco-arcilloso","goteo","mixta","bajo",6723,16252,2.4174,4204
"melón","franco-arcilloso","goteo","orgánica","bajo",6941,10414,1.5004,3966
"cacao","arcilloso","gravedad","mixta","medio",7772,1372,0.1765,3827
"cacao","franco-arcilloso","gravedad","mixta","medio",6367,1290,0.2026,5102
"cacao","franco-arcilloso","aspersión","mixta","alto",6097,1596,0.2618,3987
"banano","arcilloso","goteo","mixta","alto",6762,27584,4.0793,3356
"banano","arcilloso","aspersión","orgánica","alto",4741,24633,5.1957,2509
"plátano verde","arenoso","aspersión","química","bajo",7368,23385,3.1739,4594
"banano","franco-arcilloso","aspersión","química","medio",6668,27528,4.1284,3166
"banano","arcilloso","aspersión","química","alto",9313,10763,1.1557,3973
"sandía","arenoso","goteo","mixta","medio",7755,12278,1.5832,4613
"banano","arenoso","gravedad","química","alto",6688,20772,3.1059,3915
"plátano verde","arcilloso","gravedad","mixta","medio",7960,17338,2.1781,5007
"plátano verde","arcilloso","gravedad","química","medio",7577,23675,3.1246,3801
"cacao","franco","gravedad","orgánica","medio",6430,1349,0.2098,4645
"plátano verde","arcilloso","goteo","mixta","medio",7288,22086,3.0305,3794
"maíz","arcilloso","gravedad","orgánica","alto",8381,9491,1.1324,3740
"maíz","arenoso","goteo","química","alto",5521,9686,1.7544,3761
"sandía","arcilloso","gravedad","mixta","bajo",6258,8438,1.3484,4410
"banano","arcilloso","aspersión","mixta","bajo",7610,25954,3.4105,2639
"plátano verde","franco-arcilloso","goteo","orgánica","medio",7325,21966,2.9988,3757
"melón","franco-arcilloso","gravedad","mixta","medio",6812,9008,1.3224,4829
"banano","arenoso","goteo","orgánica","bajo",8151,27451,3.3678,3125
"maíz","arcilloso","gravedad","orgánica","bajo",8711,8312,0.9542,4971
"plátano verde","franco-arcilloso","aspersión","mixta","bajo",6322,21099,3.3374,3936
"cacao","franco","gravedad","mixta","medio",6084,1405,0.2309,3662
"arroz","arcilloso","gravedad","química","bajo",6744,7954,1.1794,4764
"sandía","franco-arcilloso","gravedad","química","bajo",6122,9789,1.599,4928
"arroz","arcilloso","gravedad","mixta","bajo",8076,8364,1.0357,5409
"arroz","franco","gravedad","mixta","medio",6841,7542,1.1025,4338
"arroz","franco","gravedad","orgánica","bajo",7299,8103,1.1102,3154
"arroz","arcilloso","aspersión","orgánica","bajo",5922,7464,1.2604,3386
"plátano verde","franco","goteo","mixta","medio",6852,18794,2.7428,3713
"maíz","franco-arcilloso","goteo","química","medio",10046,4314,0.4294,3440
"melón","arenoso","goteo","química","medio",6869,10097,1.4699,3817
"melón","arenoso","aspersión","mixta","medio",6850,10458,1.5267,4794
"banano","arcilloso","gravedad","orgánica","medio",8681,27482,3.1658,4545
"cacao","franco-arcilloso","gravedad","mixta","alto",5225,1388,0.2656,4755
"plátano verde","franco","gravedad","orgánica","medio",5864,17907,3.0537,5223
"sandía","arenoso","goteo","mixta","bajo",7365,9343,1.2686,3562
"arroz","arenoso","gravedad","química","medio",8424,7058,0.8378,2923
"maíz","arcilloso","goteo","mixta","alto",6224,9497,1.5259,5580
"maíz","arenoso","gravedad","mixta","medio",7410,10501,1.4171,4394
"maíz","franco-arcilloso","aspersión","orgánica","medio",5881,8395,1.4275,3885
"banano","franco-arcilloso","goteo","química","medio",6080,24932,4.1007,3958
"maíz","franco-arcilloso","aspersión","química","medio",8294,8937,1.0775,4182
"cacao","arcilloso","goteo","orgánica","alto",8245,1790,0.2171,5052
"cacao","franco-arcilloso","gravedad","mixta","medio",6256,1442,0.2305,3185
"melón","franco","goteo","mixta","medio",6988,9396,1.3446,4593
"cacao","franco-arcilloso","aspersión","química","bajo",8670,1274,0.1469,4104
"melón","arcilloso","goteo","mixta","bajo",6890,9838,1.4279,4203
"banano","arenoso","gravedad","química","medio",13877,12523,0.9024,3237
"maíz","franco","gravedad","mixta","bajo",7527,8519,1.1318,3587
"arroz","franco-arcilloso","gravedad","mixta","bajo",7472,7191,0.9624,4359
"cacao","franco","gravedad","mixta","medio",7945,1310,0.1649,5555
"maíz","franco-arcilloso","gravedad","química","bajo",5305,8140,1.5344,3826
"arroz","franco","goteo","química","bajo",6390,7807,1.2218,4772
"sandía","franco","goteo","orgánica","bajo",8670,12499,1.4416,2839
"banano","arcilloso","gravedad","química","bajo",7903,20614,2.6084,4177
"cacao","franco-arcilloso","gravedad","orgánica","alto",6060,1528,0.2521,2878
"plátano verde","franco-arcilloso","goteo","mixta","bajo",6615,24709,3.7353,4371
"plátano verde","arenoso","goteo","química","bajo",5385,18072,3.356,5437
"maíz","arcilloso","gravedad","química","alto",6030,8268,1.3711,4510
"melón","arcilloso","gravedad","mixta","medio",7634,9258,1.2127,4603
"plátano verde","franco","gravedad","química","bajo",7790,23020,2.9551,5733
"banano","franco","gravedad","química","bajo",8471,23952,2.8275,4755
"melón","arcilloso","aspersión","orgánica","bajo",8420,8814,1.0468,4003
"cacao","franco-arcilloso","goteo","mixta","medio",5144,1431,0.2782,3804
"melón","arcilloso","aspersión","mixta","bajo",5456,9755,1.7879,4474
"arroz","arcilloso","goteo","mixta","bajo",6866,7251,1.0561,3429
"plátano verde","arenoso","goteo","química","medio",8430,21127,2.5062,3731
"banano","arcilloso","gravedad","orgánica","bajo",7563,24666,3.2614,3558
"maíz","franco","aspersión","orgánica","bajo",7568,8748,1.1559,4675
"plátano verde","franco","goteo","orgánica","bajo",11587,6882,0.5939,4723
"sandía","franco","goteo","química","alto",5862,11907,2.0312,3803
"banano","franco-arcilloso","aspersión","química","bajo",9203,20735,2.2531,4142
"arroz","franco-arcilloso","gravedad","orgánica","bajo",8539,8359,0.9789,3627
"banano","arenoso","goteo","mixta","medio",8171,26091,3.1931,3717
"arroz","franco-arcilloso","gravedad","mixta","alto",7435,9128,1.2277,3337
"arroz","arcilloso","goteo","química","medio",5763,7244,1.257,4516
"maíz","franco-arcilloso","goteo","química","medio",7477,7405,0.9904,3632
"cacao","arcilloso","goteo","mixta","medio",4525,1420,0.3138,4630
"arroz","franco","aspersión","química","medio",7169,7987,1.1141,2803
"plátano verde","arcilloso","gravedad","química","bajo",7500,22148,2.9531,3524
"arroz","arenoso","goteo","química","bajo",8219,7040,0.8566,4574
"maíz","arcilloso","goteo","química","medio",5006,10269,2.0513,4898
"sandía","arcilloso","aspersión","orgánica","medio",5935,12162,2.0492,4174
"banano","arenoso","gravedad","química","medio",7177,24409,3.401,2695
"sandía","arenoso","gravedad","química","medio",7960,10921,1.372,5446
"maíz","arcilloso","gravedad","orgánica","bajo",8688,9166,1.055,3817
"plátano verde","franco-arcilloso","goteo","orgánica","medio",8270,23116,2.7952,3635
"cacao","arenoso","aspersión","mixta","medio",6161,1449,0.2352,4077
"plátano verde","franco-arcilloso","aspersión","mixta","bajo",6677,20432,3.0601,4645
"banano","franco","aspersión","mixta","bajo",6337,23568,3.7191,3184
"banano","arenoso","aspersión","mixta","medio",5354,25740,4.8076,4493
"cacao","arenoso","gravedad","orgánica","alto",7346,1699,0.2313,3105
"maíz","franco","gravedad","orgánica","medio",7648,10350,1.3533,5199
"arroz","franco-arcilloso","goteo","orgánica","medio",6652,7624,1.1461,3614
"cacao","arcilloso","gravedad","química","medio",7443,1475,0.1982,3509
"arroz","franco","gravedad","mixta","bajo",7508,7732,1.0298,4075
"banano","franco","goteo","mixta","alto",6418,25915,4.0379,4015
"melón","arenoso","goteo","orgánica","medio",12391,6057,0.4888,3748
"plátano verde","arenoso","goteo","mixta","medio",5393,19325,3.5833,3404
"plátano verde","franco-arcilloso","goteo","química","bajo",5807,20011,3.446,3661
"maíz","arcilloso","aspersión","química","bajo",14347,3951,0.2754,4865
"maíz","arcilloso","aspersión","mixta","medio",12770,3623,0.2837,5998
"melón","arenoso","gravedad","mixta","bajo",7702,9786,1.2706,4297
"maíz","franco","gravedad","mixta","medio",6233,8641,1.3863,3341
"maíz","arenoso","goteo","química","alto",7107,10051,1.4142,3380
"maíz","arenoso","aspersión","química","medio",4754,8887,1.8694,3516
"banano","franco-arcilloso","gravedad","química","alto",7171,30334,4.2301,4484
"plátano verde","arenoso","aspersión","orgánica","medio",6258,24320,3.8862,3808
"banano","franco","gravedad","química","medio",5821,24368,4.1862,4369
"banano","franco-arcilloso","goteo","orgánica","bajo",7130,24637,3.4554,4393
"sandía","arcilloso","goteo","orgánica","medio",6284,14358,2.2849,4955
"melón","franco","gravedad","orgánica","medio",8112,10750,1.3252,3696
"sandía","arcilloso","gravedad","química","alto",6615,13141,1.9865,4968
"plátano verde","arcilloso","goteo","mixta","medio",5424,22069,4.0688,2621
"sandía","arcilloso","goteo","mixta","alto",6919,9946,1.4375,3780
"banano","franco-arcilloso","goteo","química","medio",5533,26204,4.7359,4845
"melón","franco-arcilloso","goteo","química","bajo",7762,8472,1.0915,5557
"arroz","franco-arcilloso","aspersión","química","alto",6651,7450,1.1201,2056
"banano","franco-arcilloso","goteo","orgánica","medio",8175,23545,2.8801,2942
